resourceinstanceidfrom,relationshiptype,resourceinstanceidto,dateended,notes
ee8640f1-4525-472c-bb50-aa55b5695960,http://www.cidoc-crm.org/cidoc-crm/P67,c4f3ba13-550a-40de-a538-92f1b649fb64,,
ee8640f1-4525-472c-bb50-aa55b5695960,http://www.cidoc-crm.org/cidoc-crm/P67,336425ec-8067-4005-b4a5-a35d7ac270db,,
20017f5e-075b-45f6-9841-827e30e7bb54,http://www.cidoc-crm.org/cidoc-crm/P67,c4f3ba13-550a-40de-a538-92f1b649fb64,,
20017f5e-075b-45f6-9841-827e30e7bb54,http://www.cidoc-crm.org/cidoc-crm/P67,f0f25cfb-6855-4ef8-9e46-b8d02792f892,,
cdb79cd2-1e71-407c-b78a-85b88d310369,http://www.cidoc-crm.org/cidoc-crm/P67,c4f3ba13-550a-40de-a538-92f1b649fb64,,
cdb79cd2-1e71-407c-b78a-85b88d310369,http://www.cidoc-crm.org/cidoc-crm/P67,336425ec-8067-4005-b4a5-a35d7ac270db,,
a9a0d6e3-c6b0-4773-a739-72bb161752fc,http://www.cidoc-crm.org/cidoc-crm/P67,c4f3ba13-550a-40de-a538-92f1b649fb64,,
a9a0d6e3-c6b0-4773-a739-72bb161752fc,http://www.cidoc-crm.org/cidoc-crm/P67,336425ec-8067-4005-b4a5-a35d7ac270db,,
16a37568-5744-4d6b-bc2b-5e373be1464f,http://www.cidoc-crm.org/cidoc-crm/P67,308abf55-f0e8-4cd7-9fe3-2d92fc947a41,,
16a37568-5744-4d6b-bc2b-5e373be1464f,http://www.cidoc-crm.org/cidoc-crm/P67,023a82c4-dbcb-4f38-80bb-f248eb7c55b9,,
16a37568-5744-4d6b-bc2b-5e373be1464f,http://www.cidoc-crm.org/cidoc-crm/P67,0e053288-5420-49d5-a9aa-0f737e9b47c9,,
16a37568-5744-4d6b-bc2b-5e373be1464f,http://www.cidoc-crm.org/cidoc-crm/P67,af463af3-8998-4c15-bc17-29651b65612d,,
16a37568-5744-4d6b-bc2b-5e373be1464f,http://www.cidoc-crm.org/cidoc-crm/P67,ba9ff2e9-18e7-452e-b9c6-0db6c4484033,,
16a37568-5744-4d6b-bc2b-5e373be1464f,http://www.cidoc-crm.org/cidoc-crm/P67,8631decf-a326-45a9-b4bf-c33171577350,,
16a37568-5744-4d6b-bc2b-5e373be1464f,http://www.cidoc-crm.org/cidoc-crm/P67,ff5f70b2-96a1-4b85-94bc-c6a27df23d0d,,
16a37568-5744-4d6b-bc2b-5e373be1464f,http://www.cidoc-crm.org/cidoc-crm/P67,7f62b79d-88e8-4a91-b564-b96b78ca91ea,,
16a37568-5744-4d6b-bc2b-5e373be1464f,http://www.cidoc-crm.org/cidoc-crm/P67,68a8d623-fa37-40b1-a453-135fc42dda94,,
